Name,Genre,Global Sales
Star Ocean 5: Integrity and Faithlessness,Sports,0.30
Dragon Quest Builders: Revive Alefgard,Sports,0.22
Tales of Berseria,Sports,0.22
Odin Sphere: Leifthrasir,Sports,0.18
Valkyria Chronicles,Sports,0.17
Digimon Story: Cyber Sleuth,Sports,0.11
Project Setsuna,Sports,0.06
The Technomancer,Sports,0.05
Tokyo Xanadu eX+,Sports,0.02
Black Rose Valkyrie,Sports,0.02
Uncharted 4: A Thief's End,Shooter,4.20
Tom Clancy's The Division,Shooter,3.61
Overwatch,Shooter,1.73
Doom (2016),Shooter,1.39
Plants vs. Zombies: Garden Warfare 2,Shooter,0.45
Homefront: The Revolution,Shooter,0.31
Battleborn,Shooter,0.22
BioShock The Collection,Shooter,0.20
Resident Evil 6,Shooter,0.07
Destiny: The Collection,Shooter,0.06
EA Sports UFC 2,Sports,0.89
Pro Evolution Soccer 2017,Sports,0.28
UEFA Euro 2016,Sports,0.28
Rocket League,Sports,0.23
NHL 17,Sports,0.20
Jikkyou Powerful Pro Baseball 2016,Sports,0.17
Dead or Alive Xtreme 3: Fortune,Sports,0.05
Pro Cycling Manager 2016,Sports,0.05
Rugby Challenge 3,Sports,0.04
Dino Dini's Kick Off Revival,Sports,0.02
