Province,Region,Revenue,Expense,Debt,NumVehicles 
     Bangkok ,Bangkok and suburb cities,45572,33086,164706,35546520
     Samut Prakan ,Bangkok and suburb cities,25457,22332,87647,162977
     Nonthaburi ,Bangkok and suburb cities,36884,31381,277606,121753
     Pathum Thani ,Bangkok and suburb cities,41057,29770,221748,387019
     Phra Nakhon Si Ayutthaya ,Central,28379,22218,216816,387019
     Ang Thong ,Central,23351,17574,132829,144029
     Lop Buri ,Central,22955,17969,92474,395405
     Sing Buri ,Central,26112,22137,168239,130844
     Chai Nat ,Central,22059,17163,273336,164797
     Saraburi ,Central,29413,23017,197696,382456
     Chon Buri ,Central,27257,24182,149192,1354435
     Rayong ,Central,30315,24434,145527,649457
     Chanthaburi ,Central,36024,23351,130258,349372
     Trat ,Central,25333,18989,147114,128018
     Chachoengsao ,Central,27555,21783,75443,350187
     Prachin Buri ,Central,24166,20995,161433,245100
     Nakhon Nayok ,Central,23555,18154,144657,118380
     Sa Kaeo ,Central,26953,20577,249127,208116
     Ratchaburi ,Central,19590,15084,104894,470823
     Kanchanaburi ,Central,18884,15765,89862,376453
     Suphan Buri ,Central,15786,14146,50553,453987
     Nakhon Pathom ,Central,40347,26025,153504,421147
     Samut Sakhon ,Central,29347,22877,128830,214043
     Samut Songkhram ,Central,18310,18801,8090,65444
     Phetchaburi ,Central,26431,22154,170522,301205
     Prachuap Khiri Khan ,Central,23523,21268,168374,309015
     Chiang Mai ,North,14950,11864,31196,1298643
     Lamphun ,North,23834,20550,231587,263855
     Lampang ,North,20466,15315,119216,433692
     Uttaradit ,North,19239,15815,149576,249983
     Phrae ,North,21796,16449,180460,246076
     Nan ,North,17886,14165,162325,216009
     Phayao ,North,17673,13783,148001,256850
     Chiang Rai ,North,13497,12075,73166,679344
     Mae Hong Son ,North,15119,12131,123172,54907
     Nakhon Sawan ,North,21952,17128,188941,530279
     Uthai Thani ,North,20115,16402,194462,171267
     Kamphaeng Phet ,North,20140,17371,204669,337049
     Tak ,North,20079,15176,145791,210127
     Sukhothai ,North,22252,17246,218302,292016
     Phitsanulok ,North,19235,17650,263135,463944
     Phichit ,North,22101,16854,148751,281735
     Phetchabun ,North,21337,16141,148667,427725
     Nakhon Ratchasima ,Northeast,26376,18645,245760,1225132
     Buri Ram ,Northeast,18480,16087,159766,464258
     Surin ,Northeast,20315,18537,246348,424853
     Si Sa Ket ,Northeast,18793,18124,135277,370697
     Ubon Ratchathani ,Northeast,20453,13848,136208,677264
     Yasothon ,Northeast,19518,14453,123720,198014
     Chaiyaphum ,Northeast,23830,16332,155902,338717
     Amnat Charoen ,Northeast,21173,17029,173276,117372
     Bungkan ,Northeast,23767,23697,257989,88671
     Nong Bua Lam Phu ,Northeast,22553,18761,140079,145016
     Khon Kaen ,Northeast,21337,16880,62493,785679
     Udon Thani ,Northeast,22817,22535,197757,617788
     Loei ,Northeast,20990,16232,169523,249295
     Nong Khai ,Northeast,21207,19278,107736,219648
     Maha Sarakham ,Northeast,18540,14654,128258,308464
     Roi Et ,Northeast,19990,17756,149907,371689
     Kalasin ,Northeast,15452,12747,131577,272856
     Sakon Nakhon ,Northeast,19281,14549,164190,443195
     Nakhon Phanom ,Northeast,15804,13973,102816,210270
     Mukdahan ,Northeast,22870,17767,184067,149826
     Nakhon Si Thammarat ,South,25124,19829,164476,610562
     Krabi ,South,31012,28403,373325,242649
     Phangnga ,South,28842,20717,164167,119587
     Phuket ,South,31500,27435,135376,435785
     Surat Thani ,South,36466,26165,219065,585211
     Ranong ,South,22035,18617,106994,81081
     Chumphon ,South,29306,24542,199746,283533
     Songkhla ,South,27660,23617,172272,789840
     Satun ,South,23209,19591,145458,132211
     Trang ,South,23309,19795,131873,357261
     Phattalung ,South,21478,17143,206986,242429
     Pattani ,South,17513,15341,141540,217580
     Yala ,South,15584,13454,22272,264063
     Narathiwat ,South,19890,13717,40567,232861
