Province,Population,Male,Female,Region,ISO-Code,Area(km.²)
Bangkok,5605672,2644800,2960872,Bangkok and Suburb cities,TH40,"1,569"
Nonthaburi,1186486,555128,631358,Bangkok and Suburb cities,TH38,622
Pathum Thani,1087994,516492,571502,Bangkok and Suburb cities,TH39,"1,526"
Samut Prakan,1266279,606755,659524,Bangkok and Suburb cities,TH42,"1,004"
Phetchaburi,475160,229693,245467,Central,TH56,"6,225"
Kanchanaburi,807666,404379,403287,Central,TH50,"19,483"
Chanthaburi,528718,259389,269329,Central,TH48,"6,338"
Chachoengsao,698197,342382,355815,Central,TH44,"5,351"
Chon Buri,1440783,704408,736375,Central,TH46,"4,363"
Chai Nat,331349,159714,171635,Central,TH32,"2,470"
Trat,218919,109073,109846,Central,TH49,"2,819"
Nakhon Nayok,257922,127768,130154,Central,TH43,"2,122"
Nakhon Pathom,892753,428493,464260,Central,TH53,"2,168"
Prachuap Khiri Khan,524132,258770,265362,Central,TH57,"6,368"
Prachin Buri,481596,238278,243318,Central,TH74,"4,762"
Phra Nakhon Si Ayutthaya,806648,388533,418115,Central,TH36,"2,557"
Rayong,684402,336690,347712,Central,TH47,"3,552"
Ratchaburi,844329,410598,433731,Central,TH52,"5,197"
Lop Buri,757686,379971,377715,Central,TH34,"6,200"
Samut Songkhram,193039,92714,100325,Central,TH54,417
Samut Sakhon,523565,252029,271536,Central,TH55,872
Sa Kaeo,554064,278194,275870,Central,TH80,"7,195"
Saraburi,631655,311910,319745,Central,TH37,"3,577"
Sing Buri,211175,100711,110464,Central,TH33,823
Suphan Buri,847748,410195,437553,Central,TH51,"5,358"
Ang Thong,282841,135747,147094,Central,TH35,968
Chiang Mai,1599679,774660,825019,North,TH02,"20,107"
Chiang Rai,1160057,570298,589759,North,TH03,"11,678"
Phetchabun,994960,493368,501592,North,TH14,"12,668"
Phrae,451832,219047,232785,North,TH07,"6,539"
Mae Hong Son,230419,117737,112682,North,TH01,"12,681"
Kamphaeng Phet,729070,361785,367285,North,TH11,"8,608"
Tak,523544,263545,259999,North,TH08,"16,407"
Nakhon Sawan,1070178,523633,546545,North,TH16,"9,598"
Nan,477741,240509,237232,North,TH04,"11,472"
Phayao,480694,234853,245841,North,TH41,"6,335"
Phichit,545428,267026,278402,North,TH13,"4,531"
Phitsanulok,862130,422337,439793,North,TH12,"10,816"
Lampang,749729,367670,382059,North,TH06,"12,534"
Lamphun,404398,195859,208539,North,TH05,"4,506"
Sukhothai,601121,292826,308295,North,TH09,"6,596"
Uttaradit,458763,225407,233356,North,TH10,"7,839"
Uthai Thani,330443,162336,168107,North,TH15,"6,730"
Loei,634838,320087,314751,Northeast,TH18,"11,425"
Kalasin,984594,489623,494971,Northeast,TH23,"6,947"
Khon Kaen,1795386,886671,908715,Northeast,TH22,"10,886"
Chaiyaphum,1137428,565134,572294,Northeast,TH26,"12,778"
Nakhon Phanom,713751,356283,357468,Northeast,TH73,"5,513"
Nakhon Ratchasima,2625500,1296203,1329297,Northeast,TH27,"20,494"
Bueng Kan,420089,211837,208252,Northeast,TH81,"4,305"
Buri Ram,1583148,789256,793892,Northeast,TH28,"10,323"
Maha Sarakham,964126,473341,490785,Northeast,TH24,"5,292"
Mukdahan,346542,173647,172895,Northeast,TH78,"4,340"
Yasothon,539931,270978,268953,Northeast,TH72,"4,162"
Roi Et,1307335,651586,655749,Northeast,TH25,"8,299"
Si Sa Ket,1467779,733110,734669,Northeast,TH30,"8,840"
Sakon Nakhon,1141936,570390,571546,Northeast,TH20,"9,606"
Surin,1394032,696835,697197,Northeast,TH29,"8,124"
Nong Khai,515488,257571,257917,Northeast,TH17,"3,027"
Nong Bua Lam Phu,509701,255592,254109,Northeast,TH79,"3,859"
Amnat Charoen,375620,187786,187834,Northeast,TH77,"3,161"
Udon Thani,1570407,781912,788495,Northeast,TH76,"11,730"
Ubon Ratchathani,1849969,927509,922460,Northeast,TH75,"15,745"
Krabi,460724,229194,231530,South,TH63,"4,709"
Chumphon,502178,249070,253108,South,TH58,"6,009"
Trang,639696,313280,326416,South,TH65,"4,918"
Nakhon Si Thammarat,1550298,767686,782612,South,TH64,"9,943"
Narathiwat,781839,386959,394880,South,TH31,"4,475"
Pattani,692643,343053,349590,South,TH69,"1,940"
Phangnga,261165,130424,130741,South,TH61,"4,171"
Phatthalung,522421,255190,267231,South,TH66,"3,425"
Phuket,378342,178581,199761,South,TH62,543
Yala,516785,256365,260420,South,TH70,"4,521"
Ranong,174349,88078,86271,South,TH59,"3,298"
Songkhla,1403012,684320,718692,South,TH68,"7,394"
Satun,315524,157038,158486,South,TH67,"2,479"
Surat Thani,1042545,514876,527669,South,TH60,"12,892"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
